condition,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
rest,0.017647059,0.082352941,0.576470588,0.076470588,0,0.029411765,0.135294118,0.058823529,0,0.023529412
rest,0,0.352941176,0.052941176,0.011764706,0,0.052941176,0.1,0,0.041176471,0.388235294
rest,0.005882353,0.070588235,0.211764706,0.347058824,0.047058824,0.170588235,0.047058824,0.082352941,0,0.017647059
rest,0,0.141176471,0.547058824,0.082352941,0.017647059,0.070588235,0,0,0.058823529,0.082352941
rest,0.023529412,0.070588235,0.147058824,0.488235294,0,0.105882353,0.029411765,0,0,0.135294118
rest,0,0.235294118,0.029411765,0.023529412,0,0.176470588,0.117647059,0,0.041176471,0.376470588
rest,0.023529412,0.117647059,0.194117647,0.329411765,0.011764706,0.1,0.017647059,0,0.076470588,0.129411765
rest,0.035294118,0.1,0,0.152941176,0.041176471,0.088235294,0.205882353,0.041176471,0.052941176,0.282352941
rest,0.011764706,0.288235294,0.082352941,0,0,0.011764706,0.294117647,0,0.023529412,0.288235294
rest,0,0.082352941,0.135294118,0.111764706,0,0.164705882,0.217647059,0,0.011764706,0.276470588
rest,0.082352941,0.194117647,0,0.058823529,0,0.058823529,0.294117647,0,0,0.311764706
rest,0.070588235,0.182352941,0.041176471,0.147058824,0,0.082352941,0.152941176,0.011764706,0.011764706,0.3
rest,0,0.1,0.029411765,0.029411765,0.052941176,0.170588235,0.176470588,0.029411765,0.117647059,0.294117647
rest,0,0.164705882,0.6,0.029411765,0,0,0.105882353,0,0,0.1
rest,0.070588235,0.105882353,0.011764706,0.323529412,0,0.141176471,0,0.158823529,0,0.188235294
rest,0.035294118,0.229411765,0,0.017647059,0,0.029411765,0.388235294,0,0.041176471,0.258823529
rest,0.317647059,0.094117647,0,0.105882353,0.035294118,0.029411765,0.088235294,0.176470588,0.058823529,0.094117647
rest,0.017647059,0.205882353,0,0,0.017647059,0.064705882,0.323529412,0,0.052941176,0.317647059
rest,0.064705882,0.170588235,0.111764706,0.158823529,0,0.147058824,0.152941176,0.011764706,0.023529412,0.158823529
rest,0,0.135294118,0.329411765,0.094117647,0.164705882,0.023529412,0.076470588,0,0.029411765,0.147058824
rest,0,0.188235294,0.382352941,0.052941176,0,0.023529412,0.170588235,0,0.047058824,0.135294118
rest,0,0.241176471,0,0.094117647,0.017647059,0.152941176,0.211764706,0,0.076470588,0.205882353
emotion,0.32,0.013333333,0,0.086666667,0.013333333,0.04,0.193333333,0.293333333,0.02,0.02
emotion,0.24,0.086666667,0,0.033333333,0.013333333,0.046666667,0.073333333,0.346666667,0.04,0.12
emotion,0.386666667,0,0,0,0,0,0.04,0.573333333,0,0
emotion,0.42,0,0,0,0,0,0.02,0.533333333,0,0.026666667
emotion,0.193333333,0.12,0.06,0.093333333,0.033333333,0.186666667,0.093333333,0.08,0.02,0.12
emotion,0.2,0.04,0,0.066666667,0.06,0.026666667,0.066666667,0.446666667,0.02,0.073333333
emotion,0.346666667,0.066666667,0.013333333,0,0,0.046666667,0.113333333,0.293333333,0.046666667,0.073333333
emotion,0.306666667,0.04,0,0,0,0,0,0.64,0,0.013333333
emotion,0.373333333,0.06,0,0,0,0,0,0.52,0.033333333,0.013333333
emotion,0.293333333,0,0,0.086666667,0,0.053333333,0,0.546666667,0.02,0
emotion,0.36,0,0,0,0,0.02,0.046666667,0.553333333,0,0.02
emotion,0.38,0.013333333,0,0.02,0,0.013333333,0,0.52,0,0.053333333
emotion,0.313333333,0.013333333,0,0.04,0,0.066666667,0.12,0.393333333,0,0.053333333
emotion,0.393333333,0,0,0,0,0.02,0,0.586666667,0,0
