condition1,rest,2b,emo
low_aucg,0.772573585,-2.559352079,-1.201801868
low_aucg,0.646347582,-1.331436527,0.480720747
low_aucg,-2.470032171,1.347565201,0.480720747
low_aucg,1.5299296,0.047906708,-0.192288299
low_aucg,-0.362763057,-1.670923188,0.817225271
low_aucg,-0.170285838,-0.722818195,0.144216224
low_aucg,-0.575686575,-0.266167117,1.490234317
low_aucg,0.682509626,0.993703671,-1.201801868
low_aucg,0.626712426,1.355009877,-0.192288299
low_aucg,0.317605136,0.270309523,0.144216224
low_aucg,-0.532451535,-1.700940632,0.480720747
low_aucg,-0.575686575,0.750923099,1.153729794
low_aucg,2.314577724,1.057478272,0.144216224
low_aucg,0.70044444,-0.034094962,1.490234317
low_aucg,0.92707973,1.225942231,1.490234317
low_aucg,-0.703299676,0.018837276,3.509261456
low_aucg,-0.237234436,-2.023180591,1.490234317
low_aucg,0.317605136,-0.65524928,-0.192288299
low_aucg,0.70044444,-1.121574833,-1.538306392
low_aucg,-0.024788486,-0.280290716,-0.192288299
low_aucg,-0.767106227,0.870148181,0.817225271
low_aucg,-0.234444911,-1.500435768,-0.528792822
low_aucg,0.863621849,-0.037283166,-0.192288299
low_aucg,-2.341001146,1.240688413,1.153729794
low_aucg,-1.213752082,-0.021541559,0.144216224
low_aucg,-0.747717496,0.757575401,0.144216224
